BarTimestamp, FancyIndicator, Open, High, Low, Close
6/10/2023 8:25:00 PM, -0.50, 25789.24, 25789.24, 25765.28, 25779.76
6/10/2023 8:30:00 PM, -0.50, 25777.89, 25807.54, 25761.67, 25791.5
6/10/2023 8:35:00 PM, -0.50, 25791.15, 25827.72, 25791.15, 25821.8
6/10/2023 8:40:00 PM, -0.50, 25822.35, 25885.23, 25821.76, 25847.1
6/10/2023 8:45:00 PM, -0.50, 25847.1, 25850.69, 25833.68, 25840.26
6/10/2023 8:50:00 PM, -0.50, 25839.71, 25851.15, 25813.32, 25836.01
6/10/2023 8:55:00 PM, -0.50, 25834.62, 25849.61, 25830.74, 25841.79
6/10/2023 9:00:00 PM, -0.50, 25842.06, 25868.25, 25838.53, 25840.62
6/10/2023 9:05:00 PM, -0.50, 25840.6, 25846.16, 25813.21, 25813.22
6/10/2023 9:10:00 PM, -0.50, 25813.22, 25820.39, 25793.97, 25806.1
6/10/2023 9:15:00 PM, 0.50, 25804.85, 25809.92, 25789.86, 25789.9
6/10/2023 9:20:00 PM, 0.50, 25789.89, 25791.37, 25768.77, 25782.29
6/10/2023 9:25:00 PM, 0.50, 25782.3, 25793.47, 25760.65, 25778.92
6/10/2023 9:30:00 PM, 0.50, 25778.92, 25786.31, 25770.14, 25778.27
6/10/2023 9:35:00 PM, 0.50, 25778.27, 25797.74, 25777.73, 25793.92
6/10/2023 9:40:00 PM, 0.50, 25794.24, 25798.36, 25790.62, 25795.51
6/10/2023 9:45:00 PM, 0.50, 25795.5, 25805.59, 25785.02, 25805.59
6/10/2023 9:50:00 PM, 0.50, 25806.24, 25816.44, 25784.28, 25795.19
6/10/2023 9:55:00 PM, 0.50, 25795.85, 25797.03, 25763.07, 25771.5
6/10/2023 10:00:00 PM, 0.50, 25772.25, 25787.56, 25769.57, 25779.99
6/10/2023 10:05:00 PM, -0.50, 25779.2, 25784.52, 25763.24, 25769.47
6/10/2023 10:10:00 PM, -0.50, 25769.47, 25777.18, 25751.48, 25751.62
6/10/2023 10:15:00 PM, -0.50, 25751.62, 25764.62, 25739.95, 25747.35
6/10/2023 10:20:00 PM, -0.50, 25747.35, 25771.8, 25745.35, 25754.5
6/10/2023 10:25:00 PM, -0.50, 25754.49, 25767.23, 25738.44, 25765.04
6/10/2023 10:30:00 PM, -0.50, 25765.04, 25768.32, 25744.31, 25765.99
6/10/2023 10:35:00 PM, -0.50, 25765.99, 25774.09, 25731.69, 25746.77
6/10/2023 10:40:00 PM, -0.50, 25744.96, 25788.51, 25744.96, 25768.76
6/10/2023 10:45:00 PM, -0.50, 25767.99, 25777.83, 25757.55, 25763.91
6/10/2023 10:50:00 PM, -0.50, 25763.91, 25773.19, 25735.07, 25742.31
6/10/2023 10:55:00 PM, 0.50, 25742.3, 25758.61, 25710.31, 25733.57
6/10/2023 11:00:00 PM, 0.50, 25734.08, 25746.73, 25716.49, 25742.79
6/10/2023 11:05:00 PM, 0.50, 25742.79, 25744.94, 25716.4, 25729.24
6/10/2023 11:10:00 PM, 0.50, 25727.33, 25733.66, 25701.69, 25710.49
6/10/2023 11:15:00 PM, 0.50, 25710.49, 25729.47, 25708.76, 25720.25
6/10/2023 11:20:00 PM, 0.50, 25718.26, 25725.87, 25695.58, 25700.8
6/10/2023 11:25:00 PM, 0.50, 25701.26, 25710.92, 25648, 25690.19
6/10/2023 11:30:00 PM, 0.50, 25690.44, 25737.51, 25683.44, 25702.05
6/10/2023 11:35:00 PM, 0.50, 25705.86, 25717, 25680.05, 25687.07
6/10/2023 11:40:00 PM, 0.50, 25687.52, 25720.4, 25687.52, 25712.34
6/10/2023 11:45:00 PM, -0.50, 25712.11, 25719.96, 25698.46, 25710.57
6/10/2023 11:50:00 PM, -0.50, 25709.28, 25767.28, 25709.28, 25755.48
6/10/2023 11:55:00 PM, -0.50, 25754.38, 25763.71, 25739.31, 25745.81
6/11/2023 12:00:00 AM, -0.50, 25745.51, 25776.13, 25739.33, 25742.6
6/11/2023 12:05:00 AM, -0.50, 25743.63, 25761.23, 25741.76, 25758.57
6/11/2023 12:10:00 AM, -0.50, 25758.58, 25765.65, 25751.61, 25757.03
6/11/2023 12:15:00 AM, -0.50, 25756.66, 25766.91, 25746.39, 25766.34
6/11/2023 12:20:00 AM, -0.50, 25766.34, 25767.36, 25753.24, 25758.45
6/11/2023 12:25:00 AM, -0.50, 25758.44, 25777.7, 25756.04, 25777.53
6/11/2023 12:30:00 AM, -0.50, 25775.97, 25775.97, 25757.03, 25762.68
6/11/2023 12:35:00 AM, 0.50, 25761.77, 25769.87, 25752.15, 25768.02
6/11/2023 12:40:00 AM, 0.50, 25768.02, 25819.04, 25768.02, 25817.54
6/11/2023 12:45:00 AM, 0.50, 25815.62, 25839.14, 25775.59, 25797.03
6/11/2023 12:50:00 AM, 0.50, 25797.81, 25807.2, 25789.87, 25801.2
6/11/2023 12:55:00 AM, 0.50, 25801.07, 25827.55, 25797.65, 25818.71
6/11/2023 1:00:00 AM, 0.50, 25818.51, 25850, 25816.73, 25834.16
6/11/2023 1:05:00 AM, 0.50, 25834.17, 25841.18, 25813.17, 25818.91
6/11/2023 1:10:00 AM, 0.50, 25818.58, 25833.9, 25805.88, 25827.49
6/11/2023 1:15:00 AM, 0.50, 25826.88, 25831.35, 25813.78, 25816.29
6/11/2023 1:20:00 AM, 0.50, 25816.99, 25830.07, 25815.85, 25825.28
6/11/2023 1:25:00 AM, -0.50, 25826.61, 25827.08, 25789.1, 25800.97
6/11/2023 1:30:00 AM, -0.50, 25800.58, 25808.22, 25781.57, 25804.51
6/11/2023 1:35:00 AM, -0.50, 25804.5, 25807.04, 25785.95, 25791.55
6/11/2023 1:40:00 AM, -0.50, 25791.52, 25799.6, 25780.78, 25785.36
6/11/2023 1:45:00 AM, -0.50, 25785.53, 25808.02, 25784.13, 25793.09
6/11/2023 1:50:00 AM, -0.50, 25793.4, 25802.08, 25790.35, 25797.41
6/11/2023 1:55:00 AM, -0.50, 25797.41, 25806.69, 25794.3, 25802.78
6/11/2023 2:00:00 AM, -0.50, 25802.78, 25808.44, 25797.86, 25799.56
6/11/2023 2:05:00 AM, -0.50, 25797.25, 25816.37, 25793.68, 25811.55
6/11/2023 2:10:00 AM, -0.50, 25811.54, 25813.34, 25796.12, 25799.9
6/11/2023 2:15:00 AM, 0.50, 25798.85, 25803.39, 25796.11, 25802.4
6/11/2023 2:20:00 AM, 0.50, 25800.77, 25806.74, 25786.51, 25794.24
6/11/2023 2:25:00 AM, 0.50, 25793.95, 25796.47, 25780.16, 25782.91
6/11/2023 2:30:00 AM, 0.50, 25785.2, 25800.34, 25785.2, 25796.69
6/11/2023 2:35:00 AM, 0.50, 25797.21, 25803.06, 25786.84, 25788
6/11/2023 2:40:00 AM, 0.50, 25787.99, 25788.24, 25776.51, 25779.54
6/11/2023 2:45:00 AM, 0.50, 25777.82, 25785.71, 25760.71, 25763.15
6/11/2023 2:50:00 AM, 0.50, 25763.15, 25770.79, 25757.06, 25767.38
6/11/2023 2:55:00 AM, 0.50, 25766.73, 25772.28, 25755.19, 25766.11
6/11/2023 3:00:00 AM, 0.50, 25768.17, 25770.19, 25750.39, 25753.79
6/11/2023 3:05:00 AM, -0.50, 25752.22, 25764.12, 25744.24, 25753.59
6/11/2023 3:10:00 AM, -0.50, 25751.37, 25765.72, 25747.74, 25765.67
6/11/2023 3:15:00 AM, -0.50, 25765.67, 25765.67, 25753.36, 25761.36
6/11/2023 3:20:00 AM, -0.50, 25761.36, 25783.49, 25757.07, 25782.18
6/11/2023 3:25:00 AM, -0.50, 25782.17, 25782.17, 25765.89, 25767.73
6/11/2023 3:30:00 AM, -0.50, 25767.74, 25767.74, 25746.6, 25748.38
6/11/2023 3:35:00 AM, -0.50, 25746.92, 25750.24, 25705.13, 25741.17
6/11/2023 3:40:00 AM, -0.50, 25740.98, 25757.27, 25729.62, 25752.3
6/11/2023 3:45:00 AM, -0.50, 25754.55, 25755.83, 25726.92, 25736.61
6/11/2023 3:50:00 AM, -0.50, 25736.61, 25746.34, 25725.63, 25733.15
6/11/2023 3:55:00 AM, 0.50, 25731.12, 25742.77, 25731.12, 25738.6
6/11/2023 4:00:00 AM, 0.50, 25738.56, 25757.96, 25738.56, 25753.21
6/11/2023 4:05:00 AM, 0.50, 25753.21, 25755.35, 25743.1, 25749.68
6/11/2023 4:10:00 AM, 0.50, 25750.67, 25753.65, 25735.12, 25741.87
6/11/2023 4:15:00 AM, 0.50, 25742.25, 25758.71, 25734.88, 25737.31
6/11/2023 4:20:00 AM, 0.50, 25737.54, 25752.47, 25733.76, 25745.01
6/11/2023 4:25:00 AM, 0.50, 25744.96, 25757.94, 25744.94, 25753.23
6/11/2023 4:30:00 AM, 0.50, 25753.22, 25785.99, 25746.65, 25774.75
6/11/2023 4:35:00 AM, 0.50, 25774.4, 25779.03, 25758.69, 25771.34
6/11/2023 4:40:00 AM, 0.50, 25771.34, 25782.54, 25761.24, 25776.73